Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Southwest Airlines Co. (WN)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","02/09/2022","1623","N736SA","DEN","12:50","12:47","265","221","-3","12:55","8","0","0","0","0","0"
"WN","02/09/2022","2147","N8556Z","ATL","16:55","16:51","110","95","-4","16:59","8","0","0","0","0","0"
"WN","02/09/2022","2352","N555LV","MDW","18:00","17:53","130","142","-7","18:03","10","0","0","0","0","0"
"WN","02/10/2022","0125","N8637A","ATL","05:55","05:53","120","90","-2","06:00","7","0","0","0","0","0"
"WN","02/10/2022","1623","N7816B","DEN","12:50","12:44","265","222","-6","12:54","10","0","0","0","0","0"
"WN","02/10/2022","2147","N8547V","ATL","16:55","17:04","110","93","9","17:13","9","0","0","0","0","0"
"WN","02/10/2022","2352","N259WN","MDW","18:00","17:55","130","113","-5","18:05","10","0","0","0","0","0"
"WN","02/11/2022","0125","N8545V","ATL","05:55","05:54","120","103","-1","06:11","17","0","0","0","0","0"
"WN","02/11/2022","1623","N7732A","DEN","12:50","12:58","265","240","8","13:09","11","0","0","0","0","0"
"WN","02/11/2022","2147","N8803L","ATL","16:55","16:54","110","92","-1","17:07","13","0","0","0","0","0"
"WN","02/11/2022","2352","N297WN","MDW","18:00","18:07","130","125","7","18:23","16","0","0","0","0","0"
"WN","02/12/2022","1828","N8557Q","ATL","16:05","15:55","110","97","-10","16:11","16","0","0","0","0","0"
"WN","02/12/2022","3027","N7881A","TPA","13:15","13:00","135","133","-15","13:09","9","0","0","0","0","0"
"WN","02/12/2022","3389","N8681M","ATL","06:20","06:19","120","91","-1","06:28","9","0","0","0","0","0"
"WN","02/12/2022","3672","N8529Z","MDW","17:15","17:05","140","124","-10","17:18","13","0","0","0","0","0"
"WN","02/13/2022","0125","N8650F","ATL","05:55","05:58","120","91","3","06:01","3","0","0","0","0","0"
"WN","02/13/2022","1623","N7881A","DEN","12:50","12:49","265","224","-1","12:59","10","0","0","0","0","0"
"WN","02/13/2022","2147","N8571Z","ATL","16:55","17:27","110","109","32","17:42","15","1","0","0","0","30"
"WN","02/13/2022","2352","N245WN","MDW","18:00","18:10","130","114","10","18:26","16","0","0","0","0","0"
"WN","02/14/2022","0125","N8805L","ATL","05:55","05:53","120","108","-2","06:21","28","0","0","0","0","0"
"WN","02/14/2022","1623","N942WN","DEN","12:50","12:43","265","230","-7","12:50","7","0","0","0","0","0"
"WN","02/14/2022","2147","N8652B","ATL","16:55","16:51","110","100","-4","17:05","14","0","0","0","0","0"
"WN","02/14/2022","2352","N7745A","MDW","18:00","17:59","130","122","-1","18:08","9","0","0","0","0","0"
"WN","02/15/2022","0125","N8510E","ATL","05:55","05:53","120","114","-2","06:22","29","0","0","0","0","0"
"WN","02/15/2022","1623","N489WN","DEN","12:50","12:46","265","231","-4","12:55","9","0","0","0","0","0"
"WN","02/15/2022","2147","N8650F","ATL","16:55","16:51","110","100","-4","17:03","12","0","0","0","0","0"
"WN","02/15/2022","2352","N7729A","MDW","18:00","17:55","130","121","-5","18:07","12","0","0","0","0","0"
"WN","02/16/2022","0125","N8724J","ATL","05:55","05:56","120","107","1","06:19","23","0","0","0","0","0"
"WN","02/16/2022","1623","N565WN","DEN","12:50","12:50","265","243","0","12:59","9","0","0","0","0","0"
"WN","02/16/2022","2147","N8557Q","ATL","16:55","16:48","110","93","-7","16:57","9","0","0","0","0","0"
"WN","02/16/2022","2352","N289CT","MDW","18:00","17:53","130","114","-7","18:00","7","0","0","0","0","0"
"WN","02/17/2022","0125","N8511K","ATL","05:55","05:53","120","100","-2","06:02","9","0","0","0","0","0"
"WN","02/17/2022","1623","N7817J","DEN","12:50","12:57","265","241","7","13:06","9","0","0","0","0","0"
"WN","02/17/2022","2147","N8817L","ATL","16:55","17:07","110","101","12","17:19","12","0","0","0","0","0"
"WN","02/17/2022","2352","N404WN","MDW","18:00","17:51","130","0","-9","18:00","9","0","0","0","0","0"
"WN","02/18/2022","0125","N8701Q","ATL","05:55","06:03","120","111","8","06:23","20","0","0","0","0","0"
"WN","02/18/2022","1623","N493WN","DEN","12:50","12:49","265","247","-1","13:04","15","0","0","0","0","0"
"WN","02/18/2022","2147","N8805L","ATL","16:55","17:05","110","115","10","17:13","8","10","0","5","0","0"
"WN","02/18/2022","2352","N209WN","MDW","18:00","18:02","130","157","2","18:13","11","0","0","29","0","0"
"WN","02/19/2022","3027","N7881A","TPA","13:15","13:35","135","128","20","13:44","9","0","0","0","0","0"
"WN","02/19/2022","3060","N8659D","ATL","16:05","16:00","110","90","-5","16:09","9","0","0","0","0","0"
"WN","02/19/2022","3389","N8522P","ATL","06:20","06:18","120","104","-2","06:41","23","0","0","0","0","0"
"WN","02/19/2022","3672","N8579Z","MDW","17:15","17:07","140","118","-8","17:17","10","0","0","0","0","0"
"WN","02/20/2022","0125","N8660A","ATL","05:55","05:51","120","90","-4","05:59","8","0","0","0","0","0"
