Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,3/6/22,1643,N854UA,DEN,8:00,7:55,255,301,-5,8:07,12,0,0,41,0,0
UA,3/6/22,2234,N14214,ORD,6:45,6:40,135,135,-5,6:55,15,0,0,0,0,0
UA,3/7/22,1643,N881UA,DEN,8:00,8:07,255,249,7,8:21,14,0,0,0,0,0
UA,3/7/22,2234,N37274,ORD,6:45,6:50,135,147,5,7:19,29,0,0,17,0,0
UA,3/8/22,1643,N875UA,DEN,8:00,7:58,255,261,-2,8:12,14,0,0,0,0,0
UA,3/8/22,2234,N73283,ORD,6:45,6:45,135,133,0,7:04,19,0,0,0,0,0
UA,3/9/22,1643,N875UA,DEN,8:00,8:07,255,254,7,8:20,13,0,0,0,0,0
UA,3/9/22,2234,N17233,ORD,6:45,6:38,135,125,-7,6:58,20,0,0,0,0,0
UA,3/10/22,1643,N812UA,DEN,8:00,8:01,255,263,1,8:18,17,0,0,0,0,0
UA,3/10/22,2234,N26210,ORD,6:45,6:39,135,130,-6,6:56,17,0,0,0,0,0
UA,3/11/22,1643,N835UA,DEN,8:00,7:52,255,255,-8,8:09,17,0,0,0,0,0
UA,3/11/22,2234,N24212,ORD,6:45,6:51,135,146,6,7:22,31,6,0,11,0,0
UA,3/12/22,1643,N818UA,DEN,8:00,8:02,255,246,2,8:17,15,0,0,0,0,0
UA,3/12/22,2234,N37274,ORD,6:45,8:09,135,126,84,8:22,13,75,0,0,0,0
UA,3/13/22,1643,N853UA,DEN,8:00,8:18,255,249,18,8:32,14,0,0,0,0,0
UA,3/13/22,2234,N73283,ORD,6:45,6:54,135,131,9,7:13,19,0,0,0,0,0
UA,3/14/22,1643,N813UA,DEN,8:00,7:58,255,254,-2,8:34,36,0,0,0,0,0
UA,3/14/22,2234,N33266,ORD,6:45,6:59,135,116,14,7:13,14,0,0,0,0,0
UA,3/15/22,1643,N839UA,DEN,8:00,7:56,255,237,-4,8:08,12,0,0,0,0,0
UA,3/15/22,2234,N37255,ORD,6:45,6:38,135,136,-7,6:58,20,0,0,0,0,0
UA,3/16/22,1643,N832UA,DEN,8:00,7:55,255,272,-5,8:07,12,0,0,0,0,0
UA,3/16/22,2234,N78540,ORD,6:45,6:31,135,127,-14,6:51,20,0,0,0,0,0
UA,3/17/22,1643,N817UA,DEN,8:00,7:58,255,299,-2,8:14,16,0,0,42,0,0
UA,3/17/22,2234,N11206,ORD,6:40,6:46,133,125,6,7:03,17,0,0,0,0,0
UA,3/18/22,1643,N877UA,DEN,8:00,7:59,255,248,-1,8:16,17,0,0,0,0,0
UA,3/18/22,2234,N37253,ORD,6:45,6:36,135,138,-9,6:51,15,0,0,0,0,0
UA,3/19/22,1643,N484UA,DEN,8:00,7:49,255,229,-11,8:02,13,0,0,0,0,0
UA,3/19/22,2234,N77258,ORD,6:45,6:38,135,117,-7,6:51,13,0,0,0,0,0
UA,3/20/22,1643,N418UA,DEN,8:00,7:56,255,252,-4,8:17,21,0,0,0,0,0
UA,3/20/22,2234,N35236,ORD,6:45,6:38,135,130,-7,7:00,22,0,0,0,0,0
UA,3/21/22,1643,N851UA,DEN,8:00,7:54,255,251,-6,8:13,19,0,0,0,0,0
UA,3/21/22,2234,N37273,ORD,6:45,6:41,135,136,-4,6:59,18,0,0,0,0,0
UA,3/22/22,1643,N876UA,DEN,8:00,7:59,255,246,-1,8:12,13,0,0,0,0,0
UA,3/22/22,2234,N24212,ORD,6:45,6:41,135,137,-4,6:55,14,0,0,0,0,0
UA,3/23/22,1643,N816UA,DEN,8:00,7:55,255,219,-5,8:07,12,0,0,0,0,0
UA,3/23/22,2234,N25201,ORD,6:45,6:43,135,125,-2,6:59,16,0,0,0,0,0
UA,3/24/22,1643,N816UA,DEN,8:00,8:01,255,245,1,8:14,13,0,0,0,0,0
UA,3/24/22,2234,N33284,ORD,6:45,6:35,135,139,-10,6:49,14,0,0,0,0,0
UA,3/25/22,1643,N878UA,DEN,8:00,7:58,255,223,-2,8:11,13,0,0,0,0,0
UA,3/25/22,2234,N54241,ORD,6:45,6:36,135,130,-9,6:48,12,0,0,0,0,0
UA,3/26/22,580,N850UA,DEN,15:50,16:47,255,238,57,17:09,22,24,0,0,0,16
UA,3/26/22,1643,N876UA,DEN,8:00,7:56,255,247,-4,8:18,22,0,0,0,0,0
UA,3/26/22,2234,N12225,ORD,6:45,6:42,135,149,-3,7:22,40,0,0,0,0,0
UA,3/27/22,1643,N411UA,DEN,8:00,7:58,240,242,-2,8:13,15,0,0,0,0,0
UA,3/28/22,1643,N846UA,DEN,8:00,8:00,240,236,0,8:13,13,0,0,0,0,0
UA,3/28/22,2234,N436UA,ORD,6:35,6:35,135,131,0,6:49,14,0,0,0,0,0
UA,3/29/22,1643,N850UA,DEN,8:00,7:56,240,238,-4,8:12,16,0,0,0,0,0
UA,3/29/22,2234,N410UA,ORD,6:35,7:07,135,131,32,7:22,15,28,0,0,0,0
UA,3/30/22,1643,N877UA,DEN,8:00,7:59,240,269,-1,8:09,10,0,0,28,0,0
UA,3/30/22,2234,N426UA,ORD,6:35,6:52,135,126,17,7:05,13,0,0,0,0,0
UA,3/31/22,1643,N489UA,DEN,8:00,7:57,240,216,-3,8:09,12,0,0,0,0,0
UA,3/31/22,2234,N411UA,ORD,6:35,6:58,135,131,23,7:23,25,19,0,0,0,0
UA,4/1/22,1643,N897UA,DEN,8:00,8:03,240,234,3,8:18,15,0,0,0,0,0
UA,4/1/22,2234,N435UA,ORD,6:35,6:29,135,115,-6,6:43,14,0,0,0,0,0
UA,4/2/22,1643,N446UA,DEN,8:00,7:59,240,234,-1,8:13,14,0,0,0,0,0
UA,4/3/22,1643,N845UA,DEN,8:00,10:08,240,243,128,10:24,16,128,0,3,0,0
UA,4/3/22,2234,N447UA,ORD,6:35,6:48,135,124,13,7:00,12,0,0,0,0,0
UA,4/4/22,1643,N817UA,DEN,8:00,8:21,240,237,21,8:34,13,18,0,0,0,0
UA,4/5/22,1643,N834UA,DEN,8:00,7:56,240,240,-4,8:10,14,0,0,0,0,0
UA,4/6/22,1643,,DEN,8:00,0:00,240,0,0,0:00,0,0,0,0,0,0
UA,4/7/22,1643,N816UA,DEN,8:00,7:58,240,230,-2,8:15,17,0,0,0,0,0
UA,4/8/22,1643,N824UA,DEN,8:00,8:01,240,215,1,8:14,13,0,0,0,0,0
UA,4/9/22,1643,N821UA,DEN,8:00,7:56,240,248,-4,8:16,20,0,0,0,0,0
UA,4/10/22,1643,N483UA,DEN,8:00,7:54,240,237,-6,8:08,14,0,0,0,0,0
UA,4/10/22,2234,N419UA,ORD,6:35,6:32,135,136,-3,6:46,14,0,0,0,0,0
UA,4/11/22,1643,N874UA,DEN,8:00,7:59,240,242,-1,8:11,12,0,0,0,0,0
UA,4/12/22,1643,N821UA,DEN,8:00,7:55,240,245,-5,8:11,16,0,0,0,0,0
UA,4/13/22,1643,N839UA,DEN,8:00,7:52,240,237,-8,8:13,21,0,0,0,0,0
UA,4/14/22,1643,N814UA,DEN,8:00,7:49,240,233,-11,8:02,13,0,0,0,0,0
UA,4/15/22,1643,N882UA,DEN,8:00,8:32,240,254,32,8:47,15,32,0,14,0,0
UA,4/16/22,1643,N826UA,DEN,8:00,7:57,240,258,-3,8:10,13,0,0,15,0,0
UA,4/17/22,1643,N821UA,DEN,8:00,7:55,240,250,-5,8:09,14,0,0,0,0,0
UA,4/17/22,2234,N452UA,ORD,6:35,6:26,135,139,-9,6:40,14,0,0,0,0,0
UA,4/18/22,1643,N882UA,DEN,8:00,7:53,240,232,-7,8:07,14,0,0,0,0,0
UA,4/19/22,1643,N880UA,DEN,8:00,7:52,240,240,-8,8:06,14,0,0,0,0,0
UA,4/20/22,1643,N897UA,DEN,8:00,8:05,240,234,5,8:20,15,0,0,0,0,0
UA,4/21/22,1643,N825UA,DEN,8:00,7:57,240,236,-3,8:09,12,0,0,0,0,0
UA,4/22/22,1643,N871UA,DEN,8:00,7:58,240,239,-2,8:14,16,0,0,0,0,0
UA,4/23/22,1643,N876UA,DEN,8:00,7:46,240,226,-14,7:59,13,0,0,0,0,0
UA,4/24/22,1643,N844UA,DEN,8:00,7:52,240,248,-8,8:03,11,0,0,0,0,0
UA,4/24/22,2234,N494UA,ORD,6:35,6:35,135,120,0,6:48,13,0,0,0,0,0
UA,4/25/22,1643,N808UA,DEN,8:00,7:58,240,231,-2,8:12,14,0,0,0,0,0
